,time (s),EMG (mV)
0,1970-01-01T00:00:01.000750000,0.1
1,1970-01-01T00:00:01.014250000,0.095
2,1970-01-01T00:00:01.015000000,0.16
3,1970-01-01T00:00:01.015750000,0.1717
4,1970-01-01T00:00:01.035000000,0.205
5,1970-01-01T00:00:01.109000000,0.1783
6,1970-01-01T00:00:01.109500000,0.2283
7,1970-01-01T00:00:01.118750000,0.2133
8,1970-01-01T00:00:01.136250000,0.1133
9,1970-01-01T00:00:01.197000000,0.1333
10,1970-01-01T00:00:01.197750000,0.2867
11,1970-01-01T00:00:01.198500000,0.3283
12,1970-01-01T00:00:01.208000000,0.13
13,1970-01-01T00:00:01.236750000,0.1383
14,1970-01-01T00:00:01.240750000,0.2483
15,1970-01-01T00:00:01.243000000,0.2283
16,1970-01-01T00:00:01.251000000,0.1
17,1970-01-01T00:00:01.287750000,0.2267
18,1970-01-01T00:00:01.288250000,0.2483
19,1970-01-01T00:00:01.338000000,0.0967
20,1970-01-01T00:00:01.346250000,0.2167
21,1970-01-01T00:00:01.349000000,0.095
22,1970-01-01T00:00:01.356750000,0.3517
23,1970-01-01T00:00:01.378000000,0.1417
24,1970-01-01T00:00:01.380000000,0.46
25,1970-01-01T00:00:01.444250000,0.115
26,1970-01-01T00:00:01.471500000,0.4367
27,1970-01-01T00:00:01.472250000,0.2817
