,time (s),EMG (mV)
0,1970-01-01T00:00:01.023750000,0.2567
1,1970-01-01T00:00:01.026250000,0.5367
2,1970-01-01T00:00:01.038500000,0.2883
3,1970-01-01T00:00:01.065750000,0.3533
4,1970-01-01T00:00:01.066750000,0.22
5,1970-01-01T00:00:01.076250000,0.28
6,1970-01-01T00:00:01.098750000,0.3533
7,1970-01-01T00:00:01.140000000,0.2317
8,1970-01-01T00:00:01.141500000,0.2983
9,1970-01-01T00:00:01.142250000,0.46
10,1970-01-01T00:00:01.164500000,0.2917
11,1970-01-01T00:00:01.180500000,0.2733
12,1970-01-01T00:00:01.181500000,0.2833
13,1970-01-01T00:00:01.189500000,0.3083
14,1970-01-01T00:00:01.239250000,0.2483
15,1970-01-01T00:00:01.294750000,0.3333
16,1970-01-01T00:00:01.299000000,0.2983
17,1970-01-01T00:00:01.321500000,0.505
18,1970-01-01T00:00:01.322250000,0.265
19,1970-01-01T00:00:01.322750000,0.4583
20,1970-01-01T00:00:01.324000000,0.345
21,1970-01-01T00:00:01.365250000,0.2333
22,1970-01-01T00:00:01.368750000,0.2383
23,1970-01-01T00:00:01.370500000,0.3617
24,1970-01-01T00:00:01.371500000,0.2383
25,1970-01-01T00:00:01.413250000,0.4117
26,1970-01-01T00:00:01.447000000,0.2717
27,1970-01-01T00:00:01.452750000,0.2333
28,1970-01-01T00:00:01.454750000,0.4183
